"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","WESD"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-08","0.0","0.0","152.0","5.6","-0.6",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-09","0.0","0.0","25.0","11.1","-2.2",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-10","0.0","0.0","0.0","12.8","2.8",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-11","0.0","0.0","0.0","12.2","2.2",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-12","0.0","0.0","0.0","14.4","0.6",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-13","0.0","0.0","0.0","18.3","5.0",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-14","0.0","0.0","0.0","16.7","4.4",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-15","0.0","0.0","0.0","17.8","1.1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-16","0.0","0.0","0.0","23.3","6.7",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-17","0.0","0.0","0.0","6.7","-0.6",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-18","0.0","0.0","0.0","10.0","-1.1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-19","0.0","0.0","0.0","10.0","5.0",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","41.7372","-87.7775","189.0","2015-03-20","0.0","0.0","0.0","11.1","3.9",
